epoch,train_loss,val_loss
0,6.094676335000000e+07,1.505010131718750e+07
1,9.480531250000000e+06,6.978876493750000e+06
2,7.482603736758474e+06,5.852930800781250e+06
3,7.972935463176752e+06,5.498402695312500e+06
4,7.556246825414541e+06,9.461624809374999e+06
5,6.906166497340426e+06,5.681561354492188e+06
6,6.873348583827555e+06,2.114281514687500e+07
7,7.045742087659745e+06,6.264445387304688e+06
8,6.758446880415483e+06,4.953787103125000e+06
9,6.886655255714514e+06,5.804447559912110e+06
10,6.394500626090116e+06,5.606559744189453e+06
11,6.137365780383795e+06,4.344523463183594e+06
12,5.767497867141363e+06,5.872308766552734e+06
13,5.502045748457495e+06,4.252107474291992e+06
14,5.166571238334578e+06,4.597090206567382e+06
15,4.980579436787500e+06,4.553328407958984e+06
16,5.123203083740601e+06,7.924135431567383e+06
17,4.974783870838512e+06,4.158810249414063e+06
18,4.630324792987151e+06,4.454389997363281e+06
19,4.346683771963915e+06,3.119592197167969e+06
20,4.135460766619405e+06,5.204297069165039e+06
21,4.036032465661337e+06,2.946257352832031e+06
22,4.122467523089892e+06,3.820455332275391e+06
23,3.950095840843217e+06,5.105237265576172e+06
24,3.831140270206947e+06,2.415104410546875e+06
25,3.805676853880875e+06,5.854817115039063e+06
26,3.695459035264551e+06,3.031952158813477e+06
27,3.567017024480119e+06,2.427194276025391e+06
28,3.483692910856134e+06,2.198170003625488e+06
29,3.403411335044262e+06,2.118941581958008e+06
30,3.275820768708712e+06,3.171536511755371e+06
31,3.210201937278125e+06,3.277346871533203e+06
32,3.004060765494792e+06,3.265043927758789e+06
33,2.914671603423774e+06,2.140188842773438e+06
34,2.807483312368650e+06,2.268841173553467e+06
35,2.734301192133640e+06,3.030096518457031e+06
36,2.661095667649982e+06,1.932908504833984e+06
37,2.594940759350011e+06,1.853198448181152e+06
38,2.499354272126446e+06,1.763862088281250e+06
39,2.521392900434361e+06,1.703988240991211e+06
40,2.508765381885924e+06,2.270060530078125e+06
41,2.566091405383531e+06,2.010801686108398e+06
42,2.453295286025856e+06,2.366449780664063e+06
43,2.423289032913394e+06,1.666040243554688e+06
44,2.348715176307860e+06,1.671902384790039e+06
45,2.330848117591820e+06,3.585842264556885e+06
46,2.325854920177185e+06,1.648021488085937e+06
47,2.304541252456250e+06,1.686935423730469e+06
48,2.307636676167286e+06,1.582101082458496e+06
49,2.328077393006683e+06,1.642972771655273e+06
50,2.265079751083872e+06,1.558326458642578e+06
51,2.251281352728416e+06,1.863852681298828e+06
52,2.203575276998582e+06,1.405632799414062e+06
53,2.211816489306872e+06,1.560458182202148e+06
54,2.147841848919556e+06,1.772891150976562e+06
55,2.184666619819041e+06,2.109180757543945e+06
56,2.098993653612799e+06,1.643451404980469e+06
57,2.088824088671530e+06,1.549299617675781e+06
58,2.071099326222716e+06,1.856677846875000e+06
59,2.095979710001766e+06,1.689113621105957e+06
60,2.069134128460384e+06,1.615472645483398e+06
61,2.065826300934468e+06,1.419457761279297e+06
62,2.048066650779504e+06,1.569723956396484e+06
63,2.037957785475781e+06,1.189728951464844e+06
64,2.030227838449649e+06,1.257576167016602e+06
65,2.009930310921748e+06,1.287776557238769e+06
66,2.052610725394206e+06,1.724189826867676e+06
67,1.993804180190299e+06,1.359504138671875e+06
68,2.000058121489301e+06,1.641237216503906e+06
69,1.976570694304159e+06,1.226479418383789e+06
70,1.972391701059926e+06,2.263149031445312e+06
71,2.075683066112552e+06,1.428114460815430e+06
72,2.119721485620699e+06,1.582649870117188e+06
73,2.082266179830725e+06,1.505577663623047e+06
74,2.079131440908970e+06,1.594355824816894e+06
75,2.079962438985401e+06,2.509135583972168e+06
76,2.052265134154624e+06,1.583858406127930e+06
77,2.102343299337078e+06,1.254105288745117e+06
78,2.043703281213292e+06,1.415847830187988e+06
79,2.440953838421250e+06,4.700635254296875e+06
80,2.441928117334370e+06,1.590933138183594e+06
81,2.421015671301224e+06,2.821556730639649e+06
82,2.477669181205192e+06,1.386844953479004e+06
83,2.426753254025270e+06,1.374773816168213e+06
84,2.414512102552295e+06,1.490769004010010e+06
85,2.380585705010405e+06,1.234784938464355e+06
86,2.390139225034592e+06,1.343259311505127e+06
87,2.351402807114988e+06,1.250973044470215e+06
88,2.318046443927281e+06,1.715982589160156e+06
89,2.364231158700294e+06,1.933791523901367e+06
90,2.388137782023558e+06,1.454151559057617e+06
91,2.348955143416110e+06,1.330920851806641e+06
92,2.344628441833110e+06,1.614824479296875e+06
93,2.327515812703717e+06,1.299960227587891e+06
94,2.314671855436645e+06,1.305524196777344e+06
95,2.365270931826563e+06,1.662681334350586e+06
96,2.293950062395902e+06,1.191421775366211e+06
97,2.289685599883292e+06,1.366145186523438e+06
98,2.240730866810812e+06,1.490600829785156e+06
99,2.265133705806735e+06,1.280514587500000e+06
100,2.225082753550866e+06,1.319930802441406e+06
