epoch,train_loss,val_loss
0,1.825300983234375e+08,1.745463344330078e+08
1,1.094598405501384e+08,3.731352755390625e+07
2,6.484193165380032e+07,2.325943473417969e+07
3,4.665098300761346e+07,1.348365833671875e+07
4,2.533427606728316e+07,1.181615430156250e+07
5,1.561646829255319e+07,1.180234141875000e+07
6,1.265644302497719e+07,2.826350233437500e+07
7,9.860036950429313e+06,9.434412803125000e+06
8,8.518215635120738e+06,8.902921310937500e+06
9,7.791114959718670e+06,1.596634591562500e+07
10,6.782662832776163e+06,1.158743687031250e+07
11,5.536191826026119e+06,1.449970993125000e+07
12,4.807784088428888e+06,1.448014329218750e+07
13,4.282868603719150e+06,1.643771978437500e+07
14,3.906798269357935e+06,1.056912921562500e+07
15,3.613878454325000e+06,1.036597321875000e+07
16,3.840112936254699e+06,1.005121666953125e+07
17,3.946586014870383e+06,1.401897703906250e+07
18,3.549994005867261e+06,6.900590037500000e+06
19,3.212737648107816e+06,7.063829914062500e+06
20,3.000900603570341e+06,6.837795073437500e+06
21,2.860990733521075e+06,6.588831626562500e+06
22,2.804673482306730e+06,8.463793260937501e+06
23,2.745458612206823e+06,1.139986261093750e+07
24,2.636675145590775e+06,5.846663759375000e+06
25,2.602234817667323e+06,7.176191952343750e+06
26,2.553588812792506e+06,5.239012653125000e+06
27,2.449115885147681e+06,4.879149810937500e+06
28,2.490275786559466e+06,6.323537269531250e+06
29,2.340985192512799e+06,5.812985760156250e+06
30,2.272739358052487e+06,6.498717354687500e+06
31,2.197938871375000e+06,5.451179050781250e+06
32,2.115653238456880e+06,5.040663462890625e+06
33,2.025990191902982e+06,5.596635717187500e+06
34,2.007285234937523e+06,6.363983685937500e+06
35,2.030756178085577e+06,7.921215021875000e+06
36,1.964833431875648e+06,5.106003328125000e+06
37,1.875256724658039e+06,4.535763224218750e+06
38,1.816021775054852e+06,5.026331649609375e+06
39,1.852353934895833e+06,5.329069332812500e+06
40,1.906535991053663e+06,5.605662103125000e+06
41,1.937967761359308e+06,6.688311614843750e+06
42,1.821880251864769e+06,6.638012076953125e+06
43,1.833808666767788e+06,5.467128872265625e+06
44,1.743320427972127e+06,5.758677718750000e+06
45,1.794535849003982e+06,4.434589549218750e+06
46,1.785322784811581e+06,5.375341291406250e+06
47,1.755272295383333e+06,3.492145928906250e+06
48,1.796153853492167e+06,6.166296257031250e+06
49,1.884643434566314e+06,5.267559323437500e+06
50,1.800388557721557e+06,5.138626895312500e+06
51,1.739011998477485e+06,4.264683149218750e+06
52,1.725835283935901e+06,4.922826390625000e+06
53,1.725659679511626e+06,4.978648650781250e+06
54,1.682118502654759e+06,6.102573516796875e+06
55,1.659138558722292e+06,5.155108754687500e+06
56,1.650047618524957e+06,4.923644277343750e+06
57,1.630851921038931e+06,5.281241291406250e+06
58,1.590478433392082e+06,5.723196150781250e+06
59,1.620630727329085e+06,3.873333157812500e+06
60,1.626369548369964e+06,4.348308451562500e+06
61,1.603709618740646e+06,4.702167467968750e+06
62,1.612730260801313e+06,4.634604904687500e+06
63,1.562634899392188e+06,4.251108278906250e+06
64,1.595593951885458e+06,4.364683600000000e+06
65,1.548908201804236e+06,4.459204665625000e+06
66,1.571355700128915e+06,5.415712556250000e+06
67,1.561041753297598e+06,4.210083683984375e+06
68,1.573164300416126e+06,4.430771706250000e+06
69,1.589078370245372e+06,4.762491582812500e+06
70,1.583956129515985e+06,4.603686777343750e+06
71,1.672755454641397e+06,5.084845818750000e+06
72,1.667511151147358e+06,5.435589810546875e+06
73,1.638877447498703e+06,5.631478639062500e+06
74,1.652747831504639e+06,6.539804345312500e+06
75,1.605046232973802e+06,6.801140158593750e+06
76,1.667345864424685e+06,6.803162785937500e+06
77,1.642599752303111e+06,4.906077547656250e+06
78,1.639437357748451e+06,5.206934992968750e+06
79,1.991601113546875e+06,9.887042743750000e+06
80,2.015354017066548e+06,6.748417607812500e+06
81,2.018187743360350e+06,4.898924317480469e+06
82,2.091115653922872e+06,5.528961842187500e+06
83,2.059784059956534e+06,6.018754142578125e+06
84,2.034598336954936e+06,6.275978446093750e+06
85,2.026169391948010e+06,5.206342119921875e+06
86,2.030650467683510e+06,4.793657159375000e+06
87,1.995708120612002e+06,4.572161077343750e+06
88,1.988429221608067e+06,4.688106090625000e+06
89,2.031420026747147e+06,4.268033132421875e+06
90,1.987661970008131e+06,5.675577070312500e+06
91,2.020043552073551e+06,6.826269242187500e+06
92,2.001714419443943e+06,5.598866265625000e+06
93,1.958580379989192e+06,5.941511992187500e+06
94,1.971919410913079e+06,4.943279160156250e+06
95,1.951516857237500e+06,4.213646978906250e+06
96,1.950825101878917e+06,4.318687351562500e+06
97,1.928417352714278e+06,4.597547709375000e+06
98,1.896591566038650e+06,5.435823270312500e+06
99,1.927716559495577e+06,4.691393378125000e+06
100,1.880016125704828e+06,4.330817003515625e+06
101,1.877076651794817e+06,4.849503925390625e+06
102,1.854070444346616e+06,4.515614457812500e+06
103,1.852325236894882e+06,5.209390540625000e+06
104,1.831448350147413e+06,4.550010805468750e+06
105,1.848094689613960e+06,5.194271107031250e+06
106,1.842679192996785e+06,5.689089787500000e+06
107,1.862258980941870e+06,5.360936916015625e+06
108,1.883106036047954e+06,5.029461100781250e+06
109,1.847179935442787e+06,6.652365303125000e+06
110,1.878999525412246e+06,4.746090115625000e+06
111,1.854527943827679e+06,4.747118689843750e+06
112,1.825328450291973e+06,5.172320507812500e+06
113,1.854421577926793e+06,5.022590484765625e+06
114,1.850962507764683e+06,4.292016725781250e+06
115,1.822186000092226e+06,4.919052029687500e+06
116,1.837633664218887e+06,5.285821363671875e+06
117,1.817997448662893e+06,4.295418259375000e+06
118,1.825229002845874e+06,6.721624920312500e+06
119,1.825671216851453e+06,6.060518808984375e+06
120,1.809004553176070e+06,4.910115757812500e+06
121,1.800837811405004e+06,6.360544432617188e+06
122,1.820826163199142e+06,4.496687269531250e+06
123,1.885883732325912e+06,4.982742348437500e+06
124,1.849678240053982e+06,5.723853006250000e+06
125,1.820241137621902e+06,5.473398334375000e+06
126,1.801691454728129e+06,6.559546622265625e+06
127,1.794290123492969e+06,4.741049117968750e+06
128,1.791515764888703e+06,6.315393244921875e+06
129,1.809116614961730e+06,5.098601731250000e+06
130,1.789115595493235e+06,5.475214064453125e+06
131,1.814714323609748e+06,4.932253919531250e+06
132,1.811676142400705e+06,5.054146475000000e+06
133,1.799652676694574e+06,6.071102237109375e+06
134,1.789965663033351e+06,5.570640160937500e+06
