epoch,train_loss,val_loss
0,1.131295973562500e+08,3.210404620000000e+07
1,1.438230511234177e+07,8.384387043750000e+06
2,7.972651495895127e+06,6.909508071093750e+06
3,7.507667080812102e+06,5.953778162500000e+06
4,6.679909308414381e+06,5.539191348437500e+06
5,5.874765250398936e+06,6.185963273437500e+06
6,6.408039041001368e+06,6.243490571093750e+06
7,6.030447153055112e+06,6.218124207812500e+06
8,5.809705152432528e+06,5.943712000000000e+06
9,6.185834815417199e+06,8.002892214453125e+06
10,5.691283145639535e+06,7.411800376171875e+06
11,5.520822504397655e+06,4.496454362500000e+06
12,5.230672710476132e+06,4.144924793750000e+06
13,5.059072341978977e+06,4.709465518750000e+06
14,4.756036591563567e+06,4.017627091406250e+06
15,4.570728296425000e+06,4.047900283593750e+06
16,4.745348349455915e+06,7.241837971875000e+06
17,4.544159419145063e+06,3.629909740234375e+06
18,4.426348700170340e+06,3.935247707031250e+06
19,4.077402187862152e+06,4.303061458984375e+06
20,3.961465008783115e+06,3.402369569921875e+06
21,3.713175590806686e+06,4.180781479687500e+06
22,3.891598738807008e+06,4.347419078125000e+06
23,3.664917777718550e+06,3.401021271093750e+06
24,3.567601609085130e+06,2.685492006250000e+06
25,3.463313781203863e+06,2.733702216406250e+06
26,3.346281169001777e+06,2.897274649218750e+06
27,3.269622167054673e+06,2.171246932031250e+06
28,3.296572074291152e+06,3.244206853125000e+06
29,3.235349194952538e+06,2.769540786328125e+06
30,3.220642846956286e+06,2.962027849218750e+06
31,3.209984493175000e+06,1.883264497656250e+06
32,3.106630887858830e+06,3.090212553125000e+06
33,3.044842411143835e+06,2.273646716406250e+06
34,2.977157920130323e+06,1.910049804296875e+06
35,2.928421571103745e+06,1.879149424218750e+06
36,2.910371403462137e+06,2.113425591796875e+06
37,2.826088416690341e+06,2.146851126562500e+06
38,2.739206316929134e+06,2.213451241015625e+06
39,2.741715674851547e+06,1.975657089062500e+06
40,2.755831399264103e+06,3.633713954687500e+06
